BMW Group,BMW
BMW Group,Mini
BMW Group,Rolls-Royce
Daimler AG,Mercedes-Benz
Daimler AG,Smart
Fiat Chrysler Automobiles,Alfa Romeo
Fiat Chrysler Automobiles,Chrysler
Fiat Chrysler Automobiles,Dodge
Fiat Chrysler Automobiles,Fiat
Fiat Chrysler Automobiles,Jeep
Ford Motor Company,Ford
Ford Motor Company,Lincoln
Ford Motor Company,Mercury
General Motors,Buick
General Motors,Chevrolet
General Motors,GMC
General Motors,Pontiac
General Motors,Saturn
Honda Motor Company,Acura
Honda Motor Company,Honda
Hyundai Motor Company,Genesis
Hyundai Motor Company,Hyundai
Hyundai Motor Company,Kia
Mazda Motor Corporation,Mazda
Renault-Nissan-Mitsubishi Alliance,Infiniti
Renault-Nissan-Mitsubishi Alliance,Mitsubishi
Renault-Nissan-Mitsubishi Alliance,Nissan
Saab AB,Saab
Subaru Corporation,Subaru
Suzuki Motor Corporation,Suzuki
Tata Motors,Jaguar
Tata Motors,Land Rover
Tesla Inc,Tesla
Toyota Motor Corporation,Lexus
Toyota Motor Corporation,Scion
Toyota Motor Corporation,Toyota
Volkswagen Group,Audi
Volkswagen Group,Bentley
Volkswagen Group,Bugatti
Volkswagen Group,Lamborghini
Volkswagen Group,Porsche
Volkswagen Group,Volkswagen
Zhejiang Geely Holding Group,Lotus
Zhejiang Geely Holding Group,Polestar
Zhejiang Geely Holding Group,Volvo
